l_source,m,a,omega,l_target,coefficient,abs_coefficient,relative_abs_weight
2,2,9.0000000000000002e-01,2.0000000000000000e-02,5,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5195402309045173e-17
2,2,9.0000000000000002e-01,2.0000000000000000e-02,6,5.3621208683215550e-03+0.0000000000000000e+00j,5.3621208683215550e-03,3.4629195690936712e-02
2,2,9.0000000000000002e-01,5.0000000000000003e-02,2,1.1367868538646081e-01+0.0000000000000000e+00j,1.1367868538646081e-01,7.3417940025467765e-01
2,2,9.0000000000000002e-01,5.0000000000000003e-02,3,-1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0393616262850875e-17
2,2,9.0000000000000002e-01,5.0000000000000003e-02,4,-3.5798573150920318e-02+0.0000000000000000e+00j,3.5798573150920318e-02,2.3120055335409562e-01
2,2,9.0000000000000002e-01,5.0000000000000003e-02,5,1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0393616262850875e-17
2,2,9.0000000000000002e-01,5.0000000000000003e-02,6,5.3604900388212100e-03+0.0000000000000000e+00j,5.3604900388212100e-03,3.4620046391226622e-02
2,2,9.0000000000000002e-01,2.0000000000000001e-01,2,1.1362742549574477e-01+0.0000000000000000e+00j,1.1362742549574477e-01,7.3437240652617741e-01
2,2,9.0000000000000002e-01,2.0000000000000001e-01,3,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00
2,2,9.0000000000000002e-01,2.0000000000000001e-01,4,-3.5768476451647095e-02+0.0000000000000000e+00j,3.5768476451647095e-02,2.3117114565404523e-01
2,2,9.0000000000000002e-01,2.0000000000000001e-01,5,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00
2,2,9.0000000000000002e-01,2.0000000000000001e-01,6,5.3313515359460963e-03+0.0000000000000000e+00j,5.3313515359460963e-03,3.4456447819777344e-02
2,2,9.0000000000000002e-01,5.0000000000000000e-01,2,1.1334011204122758e-01+0.0000000000000000e+00j,1.1334011204122758e-01,7.3546559660481547e-01
2,2,9.0000000000000002e-01,5.0000000000000000e-01,3,-1.6349383584415461e-17+0.0000000000000000e+00j,1.6349383584415461e-17,1.0609138226067045e-16
2,2,9.0000000000000002e-01,5.0000000000000000e-01,4,-3.5598903859401107e-02+0.0000000000000000e+00j,3.5598903859401107e-02,2.3100179269196644e-01
2,2,9.0000000000000002e-01,5.0000000000000000e-01,5,1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0727588173780294e-17
2,2,9.0000000000000002e-01,5.0000000000000000e-01,6,5.1675970591725240e-03+0.0000000000000000e+00j,5.1675970591725240e-03,3.3532610703218127e-02
2,2,9.0000000000000002e-01,5.7999999999999996e-01,2,1.1322177852388465e-01+0.0000000000000000e+00j,1.1322177852388465e-01,7.3592152477174799e-01
2,2,9.0000000000000002e-01,5.7999999999999996e-01,3,-2.1799178112553949e-17+0.0000000000000000e+00j,2.1799178112553949e-17,1.4169080016683700e-16
2,2,9.0000000000000002e-01,5.7999999999999996e-01,4,-3.5528625028415403e-02+0.0000000000000000e+00j,3.5528625028415403e-02,2.3092977556821787e-01
2,2,9.0000000000000002e-01,5.7999999999999996e-01,5,1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0845400083418501e-17
2,2,9.0000000000000002e-01,5.7999999999999996e-01,6,5.0999387909291382e-03+0.0000000000000000e+00j,5.0999387909291382e-03,3.3148699660034142e-02
2,2,9.0000000000000002e-01,6.2000000000000000e-01,2,1.1315600699109095e-01+0.0000000000000000e+00j,1.1315600699109095e-01,7.3617638826571608e-01
2,2,9.0000000000000002e-01,6.2000000000000000e-01,3,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5455564041166013e-17
2,2,9.0000000000000002e-01,6.2000000000000000e-01,4,-3.5489451309483701e-02+0.0000000000000000e+00j,3.5489451309483701e-02,2.3088916603963150e-01
2,2,9.0000000000000002e-01,6.2000000000000000e-01,5,-5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5455564041166013e-17
2,2,9.0000000000000002e-01,6.2000000000000000e-01,6,5.0622791312978982e-03+0.0000000000000000e+00j,5.0622791312978982e-03,3.2934445694652412e-02
2,2,9.0000000000000002e-01,6.5000000000000002e-01,2,1.1310378540895587e-01+0.0000000000000000e+00j,1.1310378540895587e-01,7.3637948934208453e-01
2,2,9.0000000000000002e-01,6.5000000000000002e-01,3,1.6349383584415461e-17+0.0000000000000000e+00j,1.6349383584415461e-17,1.0644516177259977e-16
