l_source,m,a,omega,l_target,coefficient,abs_coefficient,relative_abs_weight
2,2,9.0000000000000002e-01,6.5000000000000002e-01,4,-3.5458290850973455e-02+0.0000000000000000e+00j,3.5458290850973455e-02,2.3085662443014413e-01
2,2,9.0000000000000002e-01,6.5000000000000002e-01,5,1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0963441181733180e-17
2,2,9.0000000000000002e-01,6.5000000000000002e-01,6,5.0323503176061130e-03+0.0000000000000000e+00j,5.0323503176061130e-03,3.2763886227771093e-02
2,2,9.0000000000000002e-01,9.0000000000000002e-01,2,1.1257190986555289e-01+0.0000000000000000e+00j,1.1257190986555289e-01,7.3848620291917688e-01
2,2,9.0000000000000002e-01,9.0000000000000002e-01,3,-5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5751352824886464e-17
2,2,9.0000000000000002e-01,9.0000000000000002e-01,4,-3.5138000846493489e-02+0.0000000000000000e+00j,3.5138000846493489e-02,2.3050980350505892e-01
2,2,9.0000000000000002e-01,9.0000000000000002e-01,5,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5751352824886464e-17
2,2,9.0000000000000002e-01,9.0000000000000002e-01,6,4.7261258998295809e-03+0.0000000000000000e+00j,4.7261258998295809e-03,3.1003993575764350e-02
3,2,9.0000000000000002e-01,5.0000000000000003e-02,2,3.2698767168830923e-17+0.0000000000000000e+00j,3.2698767168830923e-17,2.1323302616410595e-16
3,2,9.0000000000000002e-01,5.0000000000000003e-02,3,1.1686202122936390e-01+0.0000000000000000e+00j,1.1686202122936390e-01,7.6207284212673210e-01
3,2,9.0000000000000002e-01,5.0000000000000003e-02,4,1.6349383584415461e-17+0.0000000000000000e+00j,1.6349383584415461e-17,1.0661651308205298e-16
3,2,9.0000000000000002e-01,5.0000000000000003e-02,5,1.8415276514856748e-06+0.0000000000000000e+00j,1.8415276514856748e-06,1.2008847668895426e-05
3,2,9.0000000000000002e-01,5.0000000000000003e-02,6,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5538837694017659e-17
3,2,9.0000000000000002e-01,5.0000000000000003e-02,7,-3.6483710820380016e-02+0.0000000000000000e+00j,3.6483710820380016e-02,2.3791514902559885e-01
3,2,9.0000000000000002e-01,2.0000000000000001e-01,2,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5530444897079544e-17
3,2,9.0000000000000002e-01,2.0000000000000001e-01,3,1.1686204112338176e-01+0.0000000000000000e+00j,1.1686204112338176e-01,7.6189300188402387e-01
3,2,9.0000000000000002e-01,2.0000000000000001e-01,4,1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.1060889794159088e-17
3,2,9.0000000000000002e-01,2.0000000000000001e-01,5,2.9476126966469392e-05+0.0000000000000000e+00j,2.9476126966469392e-05,1.9217236531653102e-04
3,2,9.0000000000000002e-01,2.0000000000000001e-01,6,-3.5423664432900169e-17+0.0000000000000000e+00j,3.5423664432900169e-17,2.3094789183101703e-16
3,2,9.0000000000000002e-01,2.0000000000000001e-01,7,-3.6492279207163504e-02+0.0000000000000000e+00j,3.6492279207163504e-02,2.3791482575065925e-01
3,2,9.0000000000000002e-01,5.9999999999999998e-01,2,-1.0899589056276974e-17+0.0000000000000000e+00j,1.0899589056276974e-17,7.0917167589059839e-17
3,2,9.0000000000000002e-01,5.9999999999999998e-01,3,1.1686364573304883e-01+0.0000000000000000e+00j,1.1686364573304883e-01,7.6036249685453650e-01
3,2,9.0000000000000002e-01,5.9999999999999998e-01,4,-5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,3.5458583794529919e-17
3,2,9.0000000000000002e-01,5.9999999999999998e-01,5,2.6618157480608483e-04+0.0000000000000000e+00j,2.6618157480608483e-04,1.7318857850674638e-03
3,2,9.0000000000000002e-01,5.9999999999999998e-01,6,2.1799178112553949e-17+0.0000000000000000e+00j,2.1799178112553949e-17,1.4183433517811968e-16
3,2,9.0000000000000002e-01,5.9999999999999998e-01,7,-3.6564819938017565e-02+0.0000000000000000e+00j,3.6564819938017565e-02,2.3790561736039587e-01
