s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0,0.01,0.0,128,10.0,sinh,2.5199319125715913e-11,2.4941075302017452e-11,3.071454154418918e-11,8.466120052986844e-11,7.359668430240163e-13,2.5199319125715913e-11,-2.0041376597229874e+00+4.8262801551250810e+01j,-3.9418283111229928e+00-4.8101731475056582e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913751418,0.9982857005078889,100194225.02308093,100194225.02308093,294416126.99486214,ok
0,0,0,0.0,0.01,0.0,160,10.0,sinh,8.735379550317636e-11,8.750620657495148e-11,8.776312266903898e-11,8.787272182113482e-11,1.2956302697375577e-13,8.750620657495148e-11,-2.0041376611037842e+00+4.8262801554198390e+01j,-3.9418283078636214e+00-4.8101731478353379e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994911620393,0.9982857005087084,272903402.38081974,272903402.38081974,801136737.8851331,ok
0,0,0,0.0,0.01,0.0,192,10.0,sinh,4.743822463528045e-10,4.754962049041993e-10,4.911908365569341e-10,4.920121392482807e-10,4.634070904785403e-13,4.754962049041993e-10,-2.0041376676192661e+00+4.8262801572639127e+01j,-3.9418283029268810e+00-4.8101731497546254e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994898350736,0.9982857005106283,619031880.8809066,619031880.8809066,1816464298.8588238,ok
0,0,0,0.0,0.01,0.0,224,10.0,sinh,1.1213786004575461e-11,1.1217521347983694e-11,5.17633061936749e-11,4.156787436908076e-11,1.6509016376176078e-13,1.1217521347983694e-11,-2.0041376629814089e+00+4.8262801550439356e+01j,-3.9418283052519687e+00-4.8101731474873134e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914230926,0.9982857005084118,1237486877.9077094,1237486877.9077094,3630516368.893527,ok
0,0,0,0.0,0.01,0.0,64,12.0,sinh,2.7615974296232616e-11,2.779543790136527e-11,2.9050368108257054e-11,3.0970485293659696e-11,1.2967404927621828e-13,2.779543790136527e-11,-2.0041376610105122e+00+4.8262801551314176e+01j,-3.9418283065855695e+00-4.8101731475566631e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913668563,0.9982857005087628,4629071.6036475,4629071.6036475,9003660.272420662,ok
0,0,0,0.0,0.01,0.0,80,12.0,sinh,2.9953344231074076e-12,2.978913391541356e-12,3.3487101455403824e-12,5.46063476186001e-12,1.7752466163756253e-13,2.9953344231074076e-12,-2.0041376605982992e+00+4.8262801550140985e+01j,-3.9418283073649358e+00-4.8101731474301033e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914512704,0.9982857005083712,12584282.689345758,12584282.689345758,24187019.544659548,ok
0,0,0,0.0,0.01,0.0,96,12.0,sinh,1.3537917217319019e-11,1.3607100435564388e-11,1.3558591328205814e-11,1.3629750644514168e-11,4.285460875053104e-14,1.3607100435564388e-11,-2.0041376605833205e+00+4.8262801550651304e+01j,-3.9418283071488980e+00-4.8101731474833400e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914151242,0.998285700508542,28509582.959874555,28509582.959874555,54452120.01435998,ok
0,0,0,0.0,0.01,0.0,112,12.0,sinh,3.427946441884547e-12,3.5102417710052657e-12,5.155840212135323e-12,1.784093279352217e-11,1.7985612998927536e-14,3.5102417710052657e-12,-2.0041376607127632e+00+4.8262801550157150e+01j,-3.9418283063054873e+00-4.8101731474413576e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914497874,0.9982857005085681,56943224.20910447,56943224.20910447,108362419.64534585,ok
0,0,0,0.0,0.01,0.0,128,12.0,sinh,6.383358763021157e-11,6.387468126886959e-11,7.002722899546364e-11,7.341406234469313e-11,2.4424906541753444e-15,6.387468126886959e-11,-2.0041376590024322e+00+4.8262801546976341e+01j,-3.9418283086220289e+00-4.8101731470960644e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994916804,0.9982857005083221,103706674.85969707,103706674.85969707,196903535.72608602,ok
0,0,0,0.0,0.01,0.0,160,12.0,sinh,1.477141308425461e-10,1.4786681827069164e-10,1.5578771935626056e-10,1.6501489991113766e-10,6.705747068735946e-14,1.4786681827069164e-10,-2.0041376578349372e+00+4.8262801542969534e+01j,-3.9418283100735629e+00-4.8101731466774396e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491967993,0.9982857005080992,282536108.33534145,282536108.33534145,535084363.28624594,ok
