s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status,passed
0,1,1,0.5,0.1,1.901999971426667,224,6.0,linear,9.4272798490405e-12,8.894528144073444e-12,0.18545659727546318,0.09149387980326298,1.028066520802895e-12,9.4272798490405e-12,-1.0900583855566235e+02-4.9253151062213306e+01j,-1.0439967235022435e+02+5.8396250659814221e+01j,-1.1622622311662644e+02-2.8277390059104157e+01j,-1.0930000657981573e+02+4.8609898573806348e+01j,-8.861729650129907e-05,1.0000886172954733,23623593926.06078,23623593926.06078,9330117632.136059,ok,true
0,1,1,0.5,0.2,1.807999542735206,224,25.0,linear,3.269138380798143e-10,3.2557300774903084e-10,0.18546024318271556,0.3667020333006887,3.447908625275886e-12,3.269138380798143e-10,-1.4087197554476836e+01-9.6399277893140418e+00j,-1.4952298556109781e+01+8.1592928495329975e+00j,-1.5625049566734416e+01-6.8727846575933489e+00j,-1.6888284846630459e+01+2.2206141140418718e+00j,0.004228368602922445,0.9957716314005255,21423473683.6877,21423473683.6877,322693933.4227358,ok,true
0,2,1,0.5,0.05,5.950357141338676,112,25.0,sinh,5.921683629293562e-10,5.921680559871616e-10,0.18545924307260137,0.047096587382044336,8.881784197001252e-16,5.921683629293562e-10,8.4459385379761261e+03-9.4505672808730538e+04j,5.7010238591312373e+04+7.5845163147347077e+04j,-9.1507436876964966e+03-9.4440033732746830e+04j,6.0518069576038033e+04+7.3076804408362354e+04j,-6.962333274897095e-10,1.0000000006962342,255727019.67378396,255727019.67378396,3234695801.5017185,ok,true
0,2,1,0.5,0.1,5.901428547132914,192,6.0,linear,1.0738693115961335e-09,1.0738686081479878e-09,0.1854548272871496,0.0914921002184949,1.6653345369377348e-15,1.0738693115961335e-09,4.6860343303242507e+03-9.3247757859547510e+03j,6.7231102409380019e+03+7.9818638900603346e+03j,2.8835758411475167e+03-1.0029723392883019e+04j,5.9654583500372419e+03+8.5629240865089214e+03j,-1.1642135591343895e-08,1.000000011642134,46367361671.7234,46367361671.7234,32039125022.65188,ok,true
0,2,1,0.5,0.3,5.7128551747629475,160,30.0,linear,1.8245798405939248e-10,1.8231524268866033e-10,0.1854595125275685,0.6348697864648527,1.5232259897857148e-13,1.8245798405939248e-10,1.0205478603073726e+02-2.7495289578015857e+01j,5.0702078420018161e+01+9.2727580365874104e+01j,9.5222395210482972e+01-4.5867916403665426e+01j,-1.5341092406753237e+01+1.0456460110601181e+02j,0.0001848852076636924,0.9998151147924886,4783164236.466224,4783164236.466224,219683829.1951577,ok,true
0,2,1,0.5,0.8,5.291328998629664,224,15.0,linear,2.772512755442563e-10,4.4929654512132505e-09,0.18545947259649878,1.700195041668436,5.564384508716103e-10,4.4929654512132505e-09,-1.4707866194205750e+00+9.7187265946480361e-01j,1.6612656885683003e-02+2.0565988266709183e-02j,-1.2660262273288376e+00+1.2267548000805046e+00j,-2.5812221666146610e-02+5.7157194267155468e-03j,0.9997750981996548,0.00022490235678373534,20122823005.6951,20122823005.6951,273588337.3307999,ok,true
0,2,2,0.5,0.01,5.980021428570214,128,40.0,sinh,1.9451218606875597e-10,1.9451218606862825e-10,0.36932388898031104,0.34204158340440416,3.3306690738754696e-16,1.9451218606875597e-10,-3.9226114919092311e+06-7.6096560549759986e+06j,5.4424767030645991e+06+6.6085697036640691e+06j,-6.4171834350553248e+06-5.6668777100671437e+06j,7.3512164154251693e+06+4.3878654757961836e+06j,-1.3134537964660203e-12,1.0000000000013132,909096382.4181483,909096382.4181483,7247579513.304972,ok,true
0,2,2,0.5,0.05,5.9005357135264775,192,20.0,sinh,1.8460647313037098e-10,1.846123671681106e-10,0.3693227621995665,0.23230331760046158,1.1102230246251565e-14,1.846123671681106e-10,-1.2690498938888846e+04-6.7951235259281122e+04j,5.4964513867835478e+04+4.1920417079516672e+04j,-3.6489354434906279e+04-5.8710698750224728e+04j,6.3153776998695408e+04+2.8107287344794644e+04j,-3.4044625905449592e-09,1.0000000034044736,3596593575.087926,3596593575.087926,25194258073.02322,ok,true
0,2,2,0.5,0.1,5.80214284499459,192,40.0,linear,5.038674778340331e-10,5.04420505412231e-10,0.36932265530630926,0.09416475084021372,1.106670310946356e-12,5.04420505412231e-10,8.8797849415829080e+02-8.3795391342374460e+03j,7.3672650927010654e+03+4.0900602966460751e+03j,-2.2141120285234633e+03-8.1303683656952353e+03j,7.7193147107344575e+03+3.3789596773767353e+03j,-8.827453185776638e-08,1.0000000882756386,11394920498.179634,11394920498.179634,5667101315.3013,ok,true
0,2,2,0.5,0.24,5.532342454003087,224,40.0,linear,5.147154540122594e-10,5.148120742958799e-10,0.3693231518576403,0.2929060819145866,1.98507876802978e-13,5.148120742958799e-10,3.0785779631092907e+02-2.9725189747659124e+02j,3.5769480040982160e+02+2.3492547260467262e+02j,1.7896796238196626e+02-3.8872301392531102e+02j,2.7428161875784582e+02+3.2848917994625918e+02j,-2.3731978606366633e-06,1.0000023731980592,22088762588.02219,22088762588.02219,2216643076.825656,ok,true
