label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,mapping,B_inc,B_ref,abs_B_inc,abs_B_ref,reflection_amplitude,R,T,amplification,flux_balance_error,self_rel_abs_B_inc,self_rel_abs_B_ref,self_abs_R,self_abs_T,score,passed,cond_outer_down,cond_outer_up,cond_inner
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,false,128,2.0000000000000000e+01,linear,1.9842624490731562e+00+2.5040473949012509e-01j,-4.5391994094320948e-06-1.8611820740405806e-05j,2.0000000000902292e+00,1.9157353746057633e-05,-3.4168627649240434e-06-8.9485249888064859e-06j,9.1751050629618493e-11,9.9999999990977084e-01,-9.9999999990824895e-01,1.5218937221561646e-12,2.0237589381573754e-11,3.6045683493111042e-06,6.6143857629217410e-16,4.0475178764154407e-11,2.0237589381573754e-11,true,1.6794104819452631e+09,1.6794104819452631e+09,1.3254247202001886e+07
kerr_a05_l2m2,2,2,5.0000000000000000e-01,1.0000000000000000e-02,1.3397459621556135e-01,2.6794919243112270e-01,-2.5794919243112269e-01,true,128,3.0000000000000000e+01,sinh,-3.9226132217606818e+06-7.6096550371757243e+06j,5.4424751052660737e+06+6.6085708743268335e+06j,8.5611765705623422e+06,8.5611765705679674e+06,-9.7740496355571760e-01+2.1137534676011810e-01j,1.0000000000013136e+00,-1.3134538308578934e-12,1.3136158827364852e-12,2.2204460492503131e-16,1.1382777758465976e-08,1.1382777323320852e-08,4.4408920985006262e-16,2.9901505788089871e-20,1.1382777758465976e-08,true,1.5899655720706105e+09,1.5899655720706105e+09,7.7935294429537106e+09
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.0000000000000000e-02,1.3397459621556135e-01,2.6794919243112270e-01,-2.4794919243112271e-01,true,128,3.0000000000000000e+01,sinh,-4.1104789043071656e+05-9.9362481958931824e+05j,7.4229656853503792e+05+7.7797587026772439e+05j,1.0752909607782667e+06,1.0752909607997807e+06,-9.3244105160143465e-01+3.6132213512103861e-01j,1.0000000000400151e+00,-4.0015501119215004e-11,4.0015102342749742e-11,4.4408920985006262e-16,2.1411504264316705e-08,2.1411504047360263e-08,0.0000000000000000e+00,1.7135841645646756e-18,2.1411504264316705e-08,true,6.5405603688211954e+08,6.5405603688211954e+08,5.3909873083349466e+09
kerr_a05_l2m2,2,2,5.0000000000000000e-01,5.0000000000000003e-02,1.3397459621556135e-01,2.6794919243112270e-01,-2.1794919243112271e-01,true,128,3.0000000000000000e+01,sinh,-1.2690561915883602e+04-6.7951222721146492e+04j,5.4964475033359202e+04+4.1920466738994277e+04j,6.9126109618867820e+04,6.9126109736537997e+04,-7.4210257043303085e-01+6.7028634057482894e-01j,1.0000000034045069e+00,-3.4044626657389232e-09,3.4045068986188198e-09,4.4186876380081230e-14,5.5933586841822174e-09,5.5933862518082854e-09,5.5067062021407764e-14,3.8084761490723025e-17,5.5933586841822174e-09,true,4.1163393382999712e+08,4.1163393382999712e+08,3.4344136363145857e+09
kerr_a05_l2m2,2,2,5.0000000000000000e-01,8.0000000000000002e-02,1.3397459621556135e-01,2.6794919243112270e-01,-1.8794919243112268e-01,true,128,3.0000000000000000e+01,sinh,-9.6220012806563858e+01-1.6707932875843311e+04j,1.4238266918777361e+04+8.7427709104217647e+03j,1.6708209936272353e+04,1.6708210198655834e+04,-5.2816082390134056e-01+8.4914437847964808e-01j,1.0000000314077304e+00,-3.1407847792045381e-08,3.1407730416432855e-08,1.1735057370287905e-13,9.5821937519583988e-09,9.5822012222406738e-09,1.5987211554602254e-14,6.0191216052607710e-16,9.5821937519583988e-09,true,5.1427534907114720e+08,5.1427534907114720e+08,2.5086731588076110e+09
kerr_a05_l2m2,2,2,5.0000000000000000e-01,1.0000000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-1.6794919243112269e-01,true,128,3.0000000000000000e+01,linear,8.8794528005194434e+02-8.3795425417231254e+03j,7.3672489988566031e+03+4.0900890559629852e+03j,8.4264571457353413e+03,8.4264575176560284e+03,-3.9055405897264578e-01+9.2058004285043205e-01j,1.0000000882745124e+00,-8.8274534194247993e-08,8.8274512366481872e-08,2.1871393585115584e-14,2.0667041766468536e-08,2.0667087049702577e-08,9.1038288019262836e-14,3.6487470185773025e-15,2.0667041766468536e-08,true,1.8683401019696941e+09,1.8683401019696941e+09,1.6431316886641085e+09
kerr_a05_l2m2,2,2,5.0000000000000000e-01,1.4999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,-1.1794919243112270e-01,true,128,3.0000000000000000e+01,linear,8.3891413207568905e+02-2.1686876442249140e+03j,2.0785445208346732e+03+1.0424196030075318e+03j,2.3252920288019986e+03,2.3252926598228923e+03,-9.5610091362760830e-02+9.9541913442287189e-01j,1.0000005427455751e+00,-5.4274552900787465e-07,5.4274557514943922e-07,4.6185277824406512e-14,1.9743179618877484e-08,1.9743169371976644e-08,2.0872192862952943e-14,2.1431045190397951e-14,1.9743179618877484e-08,true,1.7928708131922469e+09,1.7928708131922469e+09,9.4578033393224990e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.0000000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-6.7949192431122685e-02,true,128,3.0000000000000000e+01,linear,4.9973782746309331e+02-7.0290820622850845e+02j,7.5511772267678225e+02+4.1667293580178335e+02j,8.6244874779949203e+02,8.6244948288595253e+02,1.1357359219543901e-01+9.9353044432778215e-01j,1.0000017046503364e+00,-1.7046501439540230e-06,1.7046503364426258e-06,1.9251267247000214e-13,1.0312654572546395e-08,1.0312747283105809e-08,1.8607337892717624e-13,3.5158936224514775e-14,1.0312654572546395e-08,true,1.7695675215814440e+09,1.7695675215814440e+09,5.3922144051402318e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.3999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,-2.7949192431122705e-02,true,128,3.0000000000000000e+01,linear,3.0785646351575008e+02-2.9725327158423528e+02j,3.5769374763390266e+02+2.3492706765169586e+02j,4.2794288123060943e+02,4.2794338902687883e+02,2.1997689473084309e-01+9.7550629879179251e-01j,1.0000023731978864e+00,-2.3731979086733662e-06,2.3731978864294234e-06,2.2204460492503131e-14,4.3147818955719624e-09,4.3147903242536695e-09,1.6875389974302379e-14,2.0479662972118723e-14,4.3147818955719624e-09,true,1.7608686562834926e+09,1.7608686562834926e+09,3.7062174805405813e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.6000000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-7.9491924311226869e-03,true,128,3.0000000000000000e+01,linear,2.3718181276658959e+02-1.9308858164500344e+02j,2.4703767560537659e+02+1.8030783012241116e+02j,3.0584050200868546e+02,3.0584068854872720e+02,2.5419995770147019e-01+9.6715231548951586e-01j,1.0000012198521613e+00,-1.2198522011361414e-06,1.2198521612827307e-06,3.9857006584043120e-14,1.5617522797440337e-08,1.5617476471721026e-08,9.3258734068513149e-14,3.8102138758756474e-14,1.5617522797440337e-08,true,1.7580020711895001e+09,1.7580020711895001e+09,2.9697076967493099e+08
