branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
down,outer,206,5.6776743489060545e-14,5.6781847740975351e-14,1.6000367622364519e-15,5.6754193533007503e-14
down,outer,207,5.7188449199667525e-14,5.7193590464090144e-14,-1.3660551029019308e-14,5.5532945783980460e-14
down,outer,208,4.5155515575057733e-14,4.5159575073941858e-14,-1.9375453472140882e-14,4.0787404791162987e-14
down,outer,209,2.9544747498468001e-14,2.9547403583067509e-14,-8.4311564929164978e-15,2.8316209226169082e-14
down,outer,210,3.2623783064418556e-14,3.2626715955545132e-14,6.8344180455543624e-15,3.1899873846346852e-14
down,outer,211,4.7393431927839392e-14,4.7397692616297397e-14,8.2846860410560458e-15,4.6663705029711015e-14
down,outer,212,5.5145709642212868e-14,5.5150667263533453e-14,-6.6232265936974289e-15,5.4746526478232283e-14
down,outer,213,5.1562017440699360e-14,5.1566652886659795e-14,-2.2101787307911062e-14,4.6584897127189695e-14
down,outer,214,3.9550583882123331e-14,3.9554139495409797e-14,-2.2910947307729319e-14,3.2238752750057261e-14
down,outer,215,2.9918578918039855e-14,2.9921268610233279e-14,-1.1785139293702729e-14,2.7499670112621401e-14
down,outer,216,3.5046728327528783e-14,3.5049879042402172e-14,-4.2943412617839246e-15,3.4782636466934882e-14
down,outer,217,4.3845660240252962e-14,4.3849601982619368e-14,-8.7757866302638262e-15,4.2958439111818090e-14
down,outer,218,4.4769575466914440e-14,4.4773600269628710e-14,-1.7626212336856418e-14,4.1153754702867613e-14
down,outer,219,3.6338461096929087e-14,3.6341727939094332e-14,-1.8939054615660595e-14,3.1012835490455461e-14
down,outer,220,2.6398023023982538e-14,2.6400396216795074e-14,-1.1443396221792906e-14,2.3788743188444574e-14
down,outer,221,2.6861831029891912e-14,2.6864245919229410e-14,-4.9349928954373070e-15,2.6404617236393475e-14
down,outer,222,3.3986795810138287e-14,3.3989851236655050e-14,-7.2989505773290723e-15,3.3193788724846415e-14
down,outer,223,3.4815036059483628e-14,3.4818165945129586e-14,-1.3887531217019946e-14,3.1925275449390286e-14
down,outer,224,2.5296093137266474e-14,2.5298367266142109e-14,-1.2821121734650218e-14,2.1806218504695849e-14
down,outer,225,1.3726596933572340e-14,1.3727830960118710e-14,-2.6598037694009918e-16,1.3724019739706016e-14
down,outer,226,1.9993458676485354e-14,1.9995256096405232e-14,1.4537226924411425e-14,1.3726158355362766e-14
down,outer,227,2.7991985500639746e-14,2.7994501991315518e-14,2.0665198880005845e-14,1.8881228972655115e-14
down,outer,228,2.7019355194014657e-14,2.7021784244837420e-14,1.7281838465633751e-14,2.0769776463603755e-14
down,outer,229,1.9754577145579263e-14,1.9756353089954111e-14,1.2970058203594652e-14,1.4900366049060997e-14
down,outer,230,1.6078813266494671e-14,1.6080258758228787e-14,1.4087805324360074e-14,7.7499662710064128e-15
down,outer,231,1.8582091366011253e-14,1.8583761903446258e-14,1.6930303931584971e-14,7.6589116928548302e-15
down,outer,232,1.9387414556494095e-14,1.9389157492805548e-14,1.4018610554821858e-14,1.3392176869262004e-14
down,outer,233,1.6555479472099111e-14,1.6556967816315478e-14,4.9210106474537477e-15,1.5807199459700060e-14
down,outer,234,1.0424677893346643e-14,1.0425615076052598e-14,-2.2030834992427961e-15,1.0189226284433686e-14
down,outer,235,2.0302100377365418e-15,2.0303925544297468e-15,-5.9920138664718190e-16,1.9397707327326870e-15
down,outer,236,6.4795081014700232e-15,6.4800906118360910e-15,6.4336483946930734e-15,-7.6954114281102761e-16
down,outer,237,9.6856272766123213e-15,9.6864980183726749e-15,9.1684788739697844e-15,3.1225583868082241e-15
down,outer,238,7.7089946903273984e-15,7.7096877320288292e-15,2.2560657046237035e-15,7.3714833427144615e-15
down,outer,239,1.1333816279747487e-14,1.1334835194357465e-14,-9.2597226183007329e-15,6.5355128716267549e-15
down,outer,240,7.6664113257418073e-15,7.6671005391817558e-15,-7.3422749361877027e-15,2.2056430755886444e-15
up,outer,0,9.9991010768198163e-01,1.0000000000000002e+00,9.9726234075373721e-01,7.2718960106488525e-02
up,outer,1,7.2881207345510873e-02,7.2887759395158083e-02,3.6624247622115413e-03,-7.2789127134486833e-02
up,outer,2,9.3465750158886537e-04,9.3474152767153592e-04,-9.3211373296328028e-04,6.8910333750451012e-05
up,outer,3,7.4881513762062360e-06,7.4888245640055285e-06,7.3646406096810213e-06,1.3544296671353983e-06
up,outer,4,1.0055080320602024e-07,1.0055984276338581e-07,-1.7647747925446141e-08,-9.8990004639537830e-08
up,outer,5,1.7218646557551055e-09,1.7220194520753255e-09,1.2224964437717766e-09,1.2125676631446212e-09
up,outer,6,2.3495541450920874e-11,2.3497653709480814e-11,6.9445228684397623e-12,2.2445802952927705e-11
up,outer,7,1.7173928156266327e-12,1.7175472099266392e-12,-1.3069640052754209e-12,1.1141288848604557e-12
up,outer,8,2.5865111526566298e-13,2.5867436810422382e-13,-1.7621258470982235e-13,1.8933970639581902e-13
up,outer,9,1.7496296802837126e-13,1.7497869726907263e-13,-1.2046872231115181e-13,1.2688312388184432e-13
up,outer,10,2.3947489755618580e-13,2.3949642644511608e-13,8.1575628386592226e-14,2.2515248924424149e-13
up,outer,11,1.8806862744121430e-13,1.8808553488593095e-13,8.1449841838144548e-14,1.6951617000204878e-13
up,outer,12,3.6776367838807493e-13,3.6779674048963717e-13,1.2808406011058204e-13,3.4473844677830208e-13
up,outer,13,3.7725428686436838e-13,3.7728820217542293e-13,2.6873063365892308e-13,2.6477281486364275e-13
up,outer,14,3.5153185440550000e-13,3.5156345725960367e-13,1.9788783557995811e-13,2.9054268049849255e-13
up,outer,15,4.1660517556719212e-13,4.1664262853885681e-13,3.1484170995778522e-13,2.7282699642855874e-13
up,outer,16,2.6599869067894999e-13,2.6602260406747492e-13,2.1634015077326756e-13,1.5476512076794170e-13
