branch,subdomain,node_index,z,abs_residual,relative_residual,term_scale,radial_abs_residual,radial_relative_residual,radial_term_scale,real_residual,imag_residual
down,outer,161,3.5251391139794516e-02,3.2478834121701157e-10,2.6667240133208125e-11,1.2179300879829697e+01,3.2478226970072840e-10,2.0023735102918610e-13,1.6219864477401568e+03,3.4134473025915213e-11,3.2298963503762934e-10
down,outer,162,3.5512762487316336e-02,2.0203438572626258e-10,1.6586782533929163e-11,1.2180444598763518e+01,2.0206965596044328e-10,1.2637754028155180e-13,1.5989364527135108e+03,-1.0787637449993781e-10,-1.7082324443862262e-10
down,outer,163,3.5772045578888821e-02,3.3162151254895943e-10,2.7223186113785419e-11,1.2181583418005257e+01,3.3160779546201000e-10,2.1033601591861649e-13,1.5765621213930199e+03,-2.2496671192584472e-11,-3.3085756356854290e-10
down,outer,164,3.6029195987689014e-02,2.2555528412951308e-10,1.8514366163951194e-11,1.2182717038873601e+01,2.2556212485895521e-10,1.4507081112234396e-13,1.5548415502325256e+03,5.4311222186242958e-11,-2.1891888302150164e-10
down,outer,165,3.6284169652318204e-02,4.3699931070856133e-10,3.5867109676164878e-11,1.2183845162158821e+01,4.3699505028408925e-10,2.8491865425048812e-13,1.5337537355483300e+03,-3.7169378686030541e-11,4.3541570349248104e-10
down,outer,166,3.6536922884351557e-02,2.0688371671669760e-10,1.6978602273882451e-11,1.2184967489045849e+01,2.0690510983615268e-10,1.3672638938941645e-13,1.5132785321117281e+03,-6.8638428274425678e-12,-2.0676982348533102e-10
down,outer,167,3.6787412375823933e-02,4.4795114981585899e-10,3.6759237840158724e-11,1.2186083720334413e+01,4.4798014785767757e-10,2.9997399463782184e-13,1.4933966139249944e+03,7.1551653491042089e-11,4.4219972128445306e-10
down,outer,168,3.7035595206650486e-02,2.4750992838323088e-10,2.0309017594963349e-11,1.2187193557044015e+01,2.4753307933247103e-10,1.6792270069324334e-13,1.4740894370479296e+03,-1.0010037243546321e-10,-2.2636492680305764e-10
down,outer,169,3.7281428851980825e-02,4.1017598712642387e-10,3.3653265686549665e-11,1.2188296700440592e+01,4.1013899120808906e-10,2.8181676819987058e-13,1.4553392043627780e+03,-1.8890133901550143e-10,-3.6408875914162309e-10
down,outer,170,3.7524871189485359e-02,1.1717221539054279e-10,9.6126375470971198e-12,1.2189392850448950e+01,1.1725671082832002e-10,8.1590952880584326e-14,1.4371288321627487e+03,9.7664987208645471e-11,-6.4736993543590415e-11
down,outer,171,3.7765880506572799e-02,4.4290767780628732e-10,3.6332253994833127e-11,1.2190481709977972e+01,4.4290875869042526e-10,3.1203020914733096e-13,1.4194419184627650e+03,-6.7307048823295190e-11,-4.3776360314495832e-10
down,outer,172,3.8004415507537401e-02,2.8318497536055059e-10,2.3227946722063079e-11,1.2191562980104788e+01,2.8315743484220639e-10,2.0192894828558203e-13,1.4022627129308144e+03,-4.0437875270527002e-11,-2.8028290799397837e-10
down,outer,173,3.8240435320634723e-02,5.4725511720802587e-10,4.4884067801935189e-11,1.2192636363151355e+01,5.4724429767355173e-10,3.9495795450933083e-13,1.3855760883545470e+03,3.1303848402330914e-11,5.4635906909794585e-10
down,outer,174,3.8473899505084813e-02,2.1567448695986255e-11,1.7687368011223237e-12,1.2193701562776877e+01,2.1661743400930964e-11,1.5818794579654686e-14,1.3693675135519602e+03,-9.8463459607955883e-12,-1.9188650668411356e-11
down,outer,175,3.8704768058001549e-02,1.0586490968631401e-10,8.6811814735865345e-12,1.2194758283583845e+01,1.0589208926978818e-10,7.8228640549686019e-14,1.3536230276497267e+03,1.4180656648932199e-11,-1.0491085777886155e-10
down,outer,176,3.8933001421246907e-02,6.5636334603126676e-10,5.3818774558966605e-11,1.2195806229517942e+01,6.5636123808665353e-10,4.9043331820817767e-13,1.3383292156509710e+03,1.4222045763290225e-10,6.4076999262141499e-10
down,outer,177,3.9158560488209058e-02,3.5057731248004609e-10,2.8743278230761837e-11,1.2196845108114660e+01,3.5057816051083626e-10,2.6489253006795349e-13,1.3234731852230852e+03,5.1949555768260325e-12,-3.5053882019298044e-10
down,outer,178,3.9381406610503031e-02,1.5871025990271491e-10,1.3011304408904736e-11,1.2197874626167078e+01,1.5872873637735744e-10,1.2125559786219936e-13,1.3090425446398306e+03,-6.1112892524306517e-11,-1.4647238977261168e-10
down,outer,179,3.9601501604592984e-02,3.1221998528971879e-10,2.5594121294059066e-11,1.2198894492314203e+01,3.1215913722970361e-10,2.4104480237512508e-13,1.2950253818122455e+03,5.4716231545626215e-11,-3.0738811496178187e-10
down,outer,180,3.9818807758334761e-02,4.9275078994595707e-10,4.0389725452837013e-11,1.2199904416813656e+01,4.9274882887429749e-10,3.8453635831703046e-13,1.2814102443547131e+03,4.3111292313824379e-11,4.9086124054298352e-10
down,outer,181,4.0033287837437592e-02,1.2933179579254381e-10,1.0600181314877761e-11,1.2200904111991148e+01,1.2925165480207631e-10,1.0191852181640965e-13,1.2681861206239141e+03,-7.4273920347422973e-11,-1.0587775101100760e-10
down,outer,182,4.0244905091844071e-02,9.3308157596339088e-11,7.6470229141780901e-12,1.2201893291484659e+01,9.3324053785805194e-11,7.4341512063617436e-14,1.2553424216868702e+03,-9.2072127699793782e-11,1.5137224806949234e-11
down,outer,183,4.0453623262027075e-02,5.4390378854671266e-11,4.4571786315820084e-12,1.2202871670720143e+01,5.4422786925092544e-11,4.3788032764811707e-14,1.2428689641619840e+03,-4.5330850184654992e-11,-3.0057067945676863e-11
down,outer,184,4.0659406585202611e-02,3.7173171254246835e-11,3.0460227599894793e-12,1.2203838967498466e+01,3.7216294057965478e-11,3.0238565119487208e-14,1.2307559538921864e+03,3.6219027776951407e-11,-8.3681950258096549e-12
down,outer,185,4.0862219801457648e-02,2.2416437729794930e-11,1.8366910636508564e-12,1.2204794901782218e+01,2.2351831406695726e-11,1.8336293656388957e-14,1.2189939704040257e+03,-2.0884627360828745e-11,8.1442630417427608e-12
down,outer,186,4.1062028159791659e-02,1.0384896062695453e-10,8.5082074067455584e-12,1.2205739195382096e+01,1.0371276102479896e-10,8.5885225367228568e-14,1.2075739521127564e+03,1.0165823738361723e-10,-2.1218138357426142e-11
down,outer,187,4.1258797424071049e-02,3.1710391554218193e-10,2.5977918193019262e-11,1.2206671573374708e+01,3.1709210266153917e-10,2.6501922241136026e-13,1.1964871822367356e+03,-6.5734973020425969e-11,-3.1021574198319968e-10
down,outer,188,4.1452493878895359e-02,2.4614395929687647e-10,2.0163187309444408e-11,1.2207591762121009e+01,2.4615628276532789e-10,2.0759976014359446e-13,1.1857252753811676e+03,-4.7196024866025255e-11,2.4157686961956415e-10
down,outer,189,4.1643084335374211e-02,1.9814159280055112e-10,1.6229807188101909e-11,1.2208499491343861e+01,1.9814653725626153e-10,1.6859515134973885e-13,1.1752801647612059e+03,7.1081807107020722e-11,1.8495260878381714e-10
down,outer,190,4.1830536136814055e-02,2.0815862066470938e-10,1.7049053559942246e-11,1.2209394494119621e+01,2.0816435628096215e-10,1.7865975381249960e-13,1.1651440900306352e+03,3.8762770770972566e-11,-2.0451762505757642e-10
down,outer,191,4.2014817164313704e-02,1.6479399137591085e-10,1.3496335754857977e-11,1.2210276505353953e+01,1.6476486901267380e-10,1.4261533969277875e-13,1.1553095856841869e+03,4.0779823962111550e-11,-1.5966861166560875e-10
down,outer,192,4.2195895842267787e-02,6.3321109846658454e-10,5.1855176954556381e-11,1.2211145263692826e+01,6.3324115866804532e-10,5.5267763301789759e-13,1.1457694700077338e+03,3.7186254076004843e-11,-6.3211824663511607e-10
