s,l,m,a,omega,N,r_match,mapping,kappa_outer,kappa_inner,lambda_gsn,lambda_local,lambda_abs_error,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,phase_factor_B_inc,phase_factor_B_ref,T_spectral,R_spectral,flux_balance_error,cond_outer_down,cond_outer_up,cond_inner,status
0,2,1,5.0000000000000000e-01,5.0000000000000003e-02,224,3.0000000000000000e+01,sinh,2.3025850929940455e+00,1.1512925464970227e+00,5.9503571413386762e+00,5.9503571413386629e+00,1.3322676295501878e-14,8.4461300737351230e+03-9.4505651747723183e+04j,5.7010341084288375e+04+7.5845081193218270e+04j,-9.1507436876964966e+03-9.4440033732746830e+04j,6.0518069576038033e+04+7.3076804408362354e+04j,4.1987381211165668e-08,4.1987357271137194e-08,1.8546126089703438e-01,4.7095204329593271e-02,9.8280201836586079e-01+1.8466214750519305e-01j,9.9889097887722078e-01+4.7082144630373045e-02j,-6.9623338513116672e-10,1.0000000006962821e+00,4.8849813083506888e-14,5.0917568762295055e+09,5.0917568762295055e+09,6.0418328687173515e+10,ok
0,2,1,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.9014285471329142e+00,5.9014285471329266e+00,1.2434497875801753e-14,4.6860863440167723e+03-9.3247494545069894e+03j,6.7231555078284782e+03+7.9818255367075380e+03j,2.8835758411475167e+03-1.0029723392883019e+04j,5.9654583500372419e+03+8.5629240865089214e+03j,1.5409395383606739e-08,1.5409290191447878e-08,1.8546038799089115e-01,9.1497778627784798e-02,9.8280220683373876e-01+1.8466128837399137e-01j,9.9581406284380036e-01-9.1401977133667378e-02j,-1.1642135975144711e-08,1.0000000116423462e+00,2.1027624086400465e-13,2.3133159266542850e+10,2.3133159266542850e+10,2.6750465519058540e+10,ok
0,2,1,5.0000000000000000e-01,2.9999999999999999e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.7128551747629475e+00,5.7128551747629341e+00,1.3322676295501878e-14,1.0205481143771738e+02-2.7495195061251188e+01j,5.0702164238553998e+01+9.2727533378259565e+01j,9.5222395210482972e+01-4.5867916403665426e+01j,-1.5341092406753237e+01+1.0456460110601181e+02j,7.0676341221759247e-10,7.0741408484305369e-10,1.8546043448523367e-01,6.3487066419520444e-01,9.8280221291351078e-01+1.8466133563575088e-01j,7.9846961916475601e-01-6.0203510350814371e-01j,1.8488520785756501e-04,9.9981511479090257e-01,1.2398970739013748e-12,2.1720226157434540e+10,2.1720226157434540e+10,9.6206056095168996e+08,ok
0,2,1,5.0000000000000000e-01,8.0000000000000004e-01,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.2913289986296643e+00,5.2913289986296563e+00,7.9936057773011271e-15,-1.4707870891367349e+00+9.7187194895669649e-01j,1.6612665199249577e-02+2.0565982400678664e-02j,-1.2660262273288376e+00+1.2267548000805046e+00j,-2.5812221666146610e-02+5.7157194267155468e-03j,1.7132192741144557e-10,2.9487614231543608e-08,1.8545995367483817e-01,1.7001952651660344e+00,9.8280230262014157e-01+1.8466086109921595e-01j,-4.4533194035888590e-01-8.9536558001266653e-01j,9.9977509798784370e-01,2.2490236797879877e-04,3.5582248258947402e-10,2.0853428813422897e+10,2.0853428813422897e+10,1.4711514810553974e+08,ok
0,2,2,5.0000000000000000e-01,1.0000000000000000e-02,224,3.0000000000000000e+01,sinh,3.9120230054281460e+00,1.9560115027140730e+00,5.9800214285702138e+00,5.9800214285702138e+00,0.0000000000000000e+00,-3.9226079826472378e+06-7.6096573526309170e+06j,5.4424787378221704e+06+6.6085674391979584e+06j,-6.4171834350553248e+06-5.6668777100671437e+06j,7.3512164154251693e+06+4.3878654757961836e+06j,5.3278944572873415e-08,5.3278944572838428e-08,3.6932430551244361e-01,3.4204122789157620e-01,9.3179972539993239e-01+3.6297267829235325e-01j,9.4150384593226821e-01+3.3700207942512966e-01j,-1.3134539359139301e-12,1.0000000000013132e+00,3.3306690738754696e-16,1.9590966796669315e+10,1.9590966796669315e+10,9.5937405646187790e+10,ok
0,2,2,5.0000000000000000e-01,5.0000000000000003e-02,224,3.0000000000000000e+01,sinh,2.3025850929940455e+00,1.1512925464970227e+00,5.9005357135264775e+00,5.9005357135264740e+00,3.5527136788005009e-15,-1.2690435215223910e+04-6.7951246428148195e+04j,5.4964552809540517e+04+4.1920364833885309e+04j,-3.6489354434906279e+04-5.8710698750224728e+04j,6.3153776998695408e+04+2.8107287344794644e+04j,1.0225676352917959e-08,1.0225660757581255e-08,3.6932368002369065e-01,2.3230238017742072e-01,9.3179999946120273e-01+3.6297209335257363e-01j,9.7301779185629200e-01+2.3073005066480723e-01j,-3.4044626614277972e-09,1.0000000034044940e+00,3.1308289294429414e-14,5.0924858094549646e+09,5.0924858094549646e+09,4.1917382962010979e+10,ok
0,2,2,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.8021428449945898e+00,5.8021428449945773e+00,1.2434497875801753e-14,8.8797862407275352e+02-8.3795389981707576e+03j,7.3672652514493448e+03+4.0900597601324876e+03j,-2.2141120285234633e+03-8.1303683656952353e+03j,7.7193147107344575e+03+3.3789596773767353e+03j,1.3929091516574365e-08,1.3928780054109771e-08,3.6932266938139674e-01,9.4164685421390351e-02,9.3180036901140806e-01+3.6297113446115847e-01j,9.9556649208096537e-01+9.4060257218664178e-02j,-8.8274534405891841e-08,1.0000000882751554e+00,6.2105875997531257e-13,2.3135004869550121e+10,2.3135004869550121e+10,1.8225504566151299e+10,ok
0,2,2,5.0000000000000000e-01,2.3999999999999999e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.5323424540030874e+00,5.5323424540030874e+00,0.0000000000000000e+00,3.0785765122943684e+02-2.9725204783414290e+02j,3.5769468756796795e+02+2.3492564454227974e+02j,1.7896796238196626e+02-3.8872301392531102e+02j,2.7428161875784582e+02+3.2848917994625918e+02j,6.7645882238944704e-10,6.7644340848319869e-10,3.6932267204091601e-01,2.9290560654365083e-01,9.3180038263473786e-01+3.6297113972694001e-01j,9.5710315350409114e-01-2.8974739844459424e-01j,-2.3731978598689656e-06,1.0000023731978354e+00,2.4535928844215960e-14,2.1806478178494282e+10,2.1806478178494282e+10,3.3557790058737645e+09,ok
0,2,2,5.0000000000000000e-01,2.5000000000000000e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.5133923824851134e+00,5.5133923824850992e+00,1.4210854715202004e-14,2.7063479024415568e+02-2.3965476414263085e+02j,2.9731309785000235e+02+2.0562778378131185e+02j,1.6518983841413421e+02-3.2154301956204284e+02j,2.1704861038495011e+02+2.8908089667689734e+02j,1.8274204597393919e-09,1.8273097720915828e-09,3.6932267157221177e-01,3.2030352163885678e-01,9.3180038030396140e-01+3.6297113881209825e-01j,9.4870282518556359e-01-3.1616917280201562e-01j,-2.0504600736182934e-06,1.0000020504602913e+00,2.1782575743145571e-13,2.1787556810941780e+10,2.1787556810941780e+10,3.0030000250584135e+09,ok
0,2,2,5.0000000000000000e-01,2.6000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.4944851589901393e+00,5.4944851589901340e+00,5.3290705182007514e-15,2.3718258399153069e+02-1.9308763836112169e+02j,2.4703839599136060e+02+1.8030684747346257e+02j,1.5092158190155163e+02-2.6600956813071105e+02j,1.7038299659127048e+02+2.5398457196525149e+02j,8.5636892852474158e-11,8.5579038294557482e-11,3.6932267318028361e-01,3.4763988160941500e-01,9.3180038162312151e-01+3.6297114069616981e-01j,9.3957325644287493e-01-3.4234791652424218e-01j,-1.2198521806895108e-06,1.0000012198520671e+00,1.1357581541915351e-13,2.1770963101080421e+10,2.1770963101080421e+10,2.6777278219515524e+09,ok
