label,scan,l,m,a,omega,N_outer,N_inner,r_match,quad_order,A_ref_1,A_hor_1,abs_A_ref_1,abs_A_hor_1,rel_A_ref_to_base,rel_A_hor_to_base,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a05_l2m2_sub,r_match_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,256,256,3.5000000000000000e+01,96,-1.1621023970777942e+07+1.7694058968207721e+07j,8.3059951330986496e+03+2.4733441509726748e+04j,2.1169032120052338e+07,2.6090854414260426e+04,4.3000204143132962e-07,1.3365990061336646e-08,3.9135252574727840e-16,3.983038e+00,8.460156e+01,8.466016e+01,ok
kerr_a05_l2m2_sub,r_match_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,256,256,4.5000000000000000e+01,96,-1.1621504253406238e+07+1.7694579294886466e+07j,8.3059939844888650e+03+2.4733441520819706e+04j,2.1169730691129826e+07,2.6090854059117599e+04,3.3039782517479369e-05,5.3840163672602983e-08,0.0000000000000000e+00,4.181756e+00,8.466016e+01,8.466406e+01,ok
kerr_a05_l2m2_super,N_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.0000000000000000e+01,96,-7.6876571341061743e+05+8.3809283801396692e+05j,1.2394653123829833e+03+3.5967849847041357e+03j,1.1372775946294032e+06,3.8043575655810505e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.4981055683030401e-16,5.581379e+00,8.466797e+01,8.461328e+01,ok
kerr_a05_l2m2_super,N_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,224,224,4.0000000000000000e+01,96,-7.6874385518127389e+05+8.3805546431426820e+05j,1.2394652068758655e+03+3.5967850034925173e+03j,1.1372352773924889e+06,3.8043575489699310e+03,3.8070186020582381e-05,2.8169526168914286e-08,7.4905278303020175e-17,5.436624e+00,8.462109e+01,8.466016e+01,ok
kerr_a05_l2m2_super,N_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,96,-7.6876552651312121e+05+8.3809304472057917e+05j,1.2394652920800124e+03+3.5967850377358723e+03j,1.1372776206204039e+06,3.8043576091045425e+03,2.4503462073850166e-07,1.4926396026923430e-08,2.9962111126158987e-16,5.609709e+00,8.466016e+01,8.525000e+01,ok
kerr_a05_l2m2_super,r_match_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.0000000000000000e+01,96,-7.6876571341061743e+05+8.3809283801396692e+05j,1.2394653123829833e+03+3.5967849847041357e+03j,1.1372775946294032e+06,3.8043575655810505e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.4981055683030401e-16,5.589927e+00,8.525391e+01,8.508594e+01,ok
kerr_a05_l2m2_super,r_match_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,3.5000000000000000e+01,96,-7.6876585039686400e+05+8.3809272217164957e+05j,1.2394651441600652e+03+3.5967850005990731e+03j,1.1372776018604690e+06,3.8043575258014598e+03,1.5774589831321919e-07,4.4415431987966629e-08,2.1186412082521655e-16,5.600866e+00,8.508594e+01,8.521094e+01,ok
kerr_a05_l2m2_super,r_match_scan,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.5000000000000000e+01,96,-7.6877722013459867e+05+8.3811239712282585e+05j,1.2394652597994923e+03+3.5967850030847153e+03j,1.1372997865157851e+06,3.8043575658269738e+03,1.9953620761105795e-05,1.4642000166094705e-08,3.7452639110949860e-16,5.651909e+00,8.521094e+01,8.498438e+01,ok
kerr_a09_l2m2_peak,N_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,256,256,1.6000000000000000e+01,96,-2.3880817246639367e+03+3.2886761312753933e+03j,3.6660166420312486e+01+9.4089876753184541e+01j,4.0642742304247104e+03,1.0097956580117813e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.9245224175872460e-16,5.359882e+00,8.498438e+01,8.522656e+01,ok
kerr_a09_l2m2_peak,N_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,224,224,1.6000000000000000e+01,96,-2.3880867722149460e+03+3.2886724625931611e+03j,3.6660165257110137e+01+9.4089876598352120e+01j,4.0642742276877143e+03,1.0097956523461445e+02,1.5353176508769724e-06,1.1620785552983383e-08,2.4825530492274673e-16,4.742669e+00,8.523047e+01,8.494141e+01,ok
kerr_a09_l2m2_peak,N_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,288,288,1.6000000000000000e+01,96,-2.3880782904733510e+03+3.2886786412229362e+03j,3.6660166211787313e+01+9.4089877239061238e+01j,4.0642742435354999e+03,1.0097956617820006e+02,1.0465941636268226e-06,5.2360426091104681e-09,2.5574206715907691e-16,5.283774e+00,8.494531e+01,8.520312e+01,ok
kerr_a09_l2m2_peak,r_match_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,256,256,1.6000000000000000e+01,96,-2.3880817246639367e+03+3.2886761312753933e+03j,3.6660166420312486e+01+9.4089876753184541e+01j,4.0642742304247104e+03,1.0097956580117813e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.9245224175872460e-16,5.304921e+00,8.520312e+01,8.523828e+01,ok
kerr_a09_l2m2_peak,r_match_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,256,256,1.2000000000000000e+01,96,-2.3880871966741756e+03+3.2886721621502033e+03j,3.6660166279496686e+01+9.4089876190392403e+01j,4.0642742339833339e+03,1.0097956522566196e+02,1.6632599584668215e-06,5.7451369168923765e-09,1.4622612086390339e-16,5.676164e+00,8.523828e+01,8.525000e+01,ok
kerr_a09_l2m2_peak,r_match_scan,2,2,9.0000000000000002e-01,5.7999999999999996e-01,256,256,2.0000000000000000e+01,96,-2.3880784526955122e+03+3.2886785211339748e+03j,3.6660166187278058e+01+9.4089877675048982e+01j,4.0642742416815995e+03,1.0097956657554302e+02,9.9693434859581379e-07,9.4163832142842738e-09,2.2708708105740448e-16,4.629088e+00,8.525000e+01,8.525391e+01,ok
